fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/09/19,1.933333,2.0,1.9,311.347292,100.0,100.0
2020/09/20,3.645673,6.2,1.2,100.228776,99.7,100.0
2020/09/21,3.348,5.5,1.6,118.617952,100.0,100.0
2020/09/22,1.488889,2.3,0.9,168.40123,100.0,100.0
2020/09/23,1.85,3.1,1.1,163.898193,100.0,100.0
2020/09/24,3.368293,7.0,1.7,121.226795,100.0,100.0
2020/09/25,4.082895,6.5,2.4,120.072869,100.0,100.0
2020/09/26,3.583333,4.0,2.9,170.40007,100.0,100.0
2020/09/27,1.35,2.3,0.3,54.783405,100.0,100.0
2020/09/29,2.625,5.5,1.5,121.486893,100.0,100.0
2020/09/30,3.883333,5.8,1.7,102.794501,100.0,100.0
2020/10/01,3.509836,5.0,2.5,108.534343,100.0,100.0
2020/10/02,3.416296,5.4,1.7,120.127277,100.0,100.0
2020/10/03,2.725,3.1,2.2,165.750786,100.0,100.0
2020/10/04,3.031696,5.6,1.0,97.248691,100.0,100.0
2020/10/05,4.498008,6.8,2.6,99.527057,100.0,100.0
2020/10/06,3.0,3.0,3.0,169.0,100.0,100.0
2020/10/07,3.936744,7.5,0.7,98.850272,94.8,95.8
2020/10/09,3.71087,5.0,1.8,118.317252,100.0,100.0
2020/10/10,5.08,7.7,2.7,102.835501,99.7,100.0
2020/10/11,3.631206,5.8,2.2,121.500281,100.0,100.0
2020/10/12,4.561373,7.4,1.6,99.382854,100.0,100.0
2020/10/13,2.402985,6.1,0.7,126.027099,100.0,100.0
2020/10/14,2.501512,5.164,0.828,122.424556,100.0,100.0
2020/10/15,2.225184,4.453,0.43,127.174625,100.0,100.0
2020/10/16,4.357868,7.047,1.734,102.023389,100.0,100.0
2020/10/17,3.423616,6.023,1.172,119.223732,100.0,100.0
2020/10/18,0.7546,1.32,0.203,214.095066,100.0,100.0
2020/10/19,1.70395,2.703,0.469,359.554467,95.8,91.7
2020/10/20,1.207857,2.141,0.469,54.979555,100.0,100.0
2020/10/21,3.365252,6.086,1.656,120.4552,100.0,100.0
2020/10/22,4.526788,7.383,2.508,105.619685,100.0,100.0
2020/10/23,3.232561,6.023,1.234,119.273848,100.0,100.0
2020/10/25,2.481886,5.047,0.227,85.668354,100.0,100.0
2020/10/26,1.799182,3.57,0.258,132.808143,100.0,100.0
2020/10/27,1.09175,1.711,0.469,135.970636,100.0,100.0
2020/10/28,2.783165,4.883,0.406,310.803507,100.0,100.0
2020/10/29,0.633,0.633,0.633,149.0,98.6,95.8
2020/10/30,0.258,0.258,0.258,57.0,96.2,95.8
2020/10/31,2.6015,4.312,0.227,184.90034,95.1,91.7
2020/11/01,2.519725,4.438,0.984,281.735163,96.9,95.8
2020/11/03,2.653273,3.914,0.391,280.676095,97.9,95.8
2020/11/04,1.248,2.031,0.352,48.563692,98.3,100.0
2020/11/05,1.218,2.281,0.383,49.158335,99.0,100.0
2020/11/06,1.71275,3.438,0.422,127.548189,100.0,100.0
2020/11/07,2.1425,2.805,1.086,170.658198,100.0,100.0
2020/11/08,2.849744,4.766,0.93,118.955431,100.0,100.0
2020/11/09,2.910875,5.07,1.133,90.44138,100.0,100.0
2020/11/10,2.114375,3.344,1.266,176.593597,100.0,100.0
2020/11/11,2.9187,4.719,0.484,173.075005,97.9,95.8
2020/11/12,1.596205,2.898,0.039,180.953772,97.6,95.8
2020/11/13,1.5596,3.336,0.133,83.813547,99.0,100.0
2020/11/14,1.5864,3.492,0.344,234.650158,100.0,100.0
2020/11/15,2.306756,3.969,0.172,180.656097,100.0,100.0
